dataset_name,algorithm_name,cross_validation,hyper_parameters_values,accuracy,tpr,fpr,precision,auc,pr_curve,training_time,inference_time
analcatdata_asbestos.csv,BoostingBasedPruning,8,"{'T': 30, 'U': 10}",0.875,0.875,0.125,0.875,1,1,0.10506773,0.403285027
analcatdata_asbestos.csv,BoostingBasedPruning,9,"{'T': 30, 'U': 10}",0.875,0.875,0.125,0.875,0.9,0.75,0.106222153,0.394642353
analcatdata_asbestos.csv,BoostingBasedPruning,10,"{'T': 30, 'U': 10}",0.5,0.5,0.5,0.5,0.6,0.458333333,0.105062008,0.406771898
analcatdata_boxing1.csv,BoostingBasedPruning,1,"{'T': 50, 'U': 70}",0.833333333,0.833333333,0.166666667,0.833333333,0.5625,0.717063492,0.702712536,6.394902865
analcatdata_boxing1.csv,BoostingBasedPruning,2,"{'T': 50, 'U': 70}",0.666666667,0.666666667,0.333333333,0.666666667,0.84375,0.928125,0.699913025,6.420691808
analcatdata_boxing1.csv,BoostingBasedPruning,3,"{'T': 50, 'U': 70}",0.75,0.75,0.25,0.75,0.5,0.669543651,0.69333005,6.356974443
analcatdata_boxing1.csv,BoostingBasedPruning,4,"{'T': 50, 'U': 70}",0.916666667,0.916666667,0.083333333,0.916666667,0.984375,0.986111111,0.695161343,6.283064683
analcatdata_boxing1.csv,BoostingBasedPruning,5,"{'T': 50, 'U': 70}",1,1,0,1,1,1,0.712632656,6.330966949
analcatdata_boxing1.csv,BoostingBasedPruning,6,"{'T': 50, 'U': 70}",0.5,0.5,0.5,0.5,0.5,0.674242424,0.689629316,6.263752778
analcatdata_boxing1.csv,BoostingBasedPruning,7,"{'T': 50, 'U': 70}",0.666666667,0.666666667,0.333333333,0.666666667,0.84375,0.932426948,0.701835632,6.272931894
analcatdata_boxing1.csv,BoostingBasedPruning,8,"{'T': 50, 'U': 70}",0.75,0.75,0.25,0.75,0.703125,0.83859127,0.695008516,6.241659323
analcatdata_boxing1.csv,BoostingBasedPruning,9,"{'T': 50, 'U': 70}",0.583333333,0.583333333,0.416666667,0.583333333,0.742857143,0.845238095,0.695003271,6.17770354
analcatdata_boxing1.csv,BoostingBasedPruning,10,"{'T': 50, 'U': 70}",0.75,0.75,0.25,0.75,0.828571429,0.866666667,0.703974724,6.348689397
analcatdata_germangss.csv,BoostingBasedPruning,1,"{'T': 110, 'U': 90}",0.225,0.225,0.025833333,0.225,0.781215464,0.179619648,222.1535435,390.313679
analcatdata_germangss.csv,BoostingBasedPruning,2,"{'T': 110, 'U': 90}",0.15,0.15,0.029310345,0.15,0.699780435,0.092811076,221.3179696,383.4469318
analcatdata_germangss.csv,BoostingBasedPruning,3,"{'T': 110, 'U': 90}",0.125,0.125,0.026515152,0.125,0.706879664,0.131846557,219.0013227,389.4746423
analcatdata_germangss.csv,BoostingBasedPruning,4,"{'T': 110, 'U': 90}",0.2,0.2,0.027586207,0.2,0.743304228,0.161820531,207.9772277,466.8301463
analcatdata_germangss.csv,BoostingBasedPruning,5,"{'T': 110, 'U': 90}",0.35,0.35,0.01969697,0.35,0.771558345,0.236404496,263.0657082,460.4218066
analcatdata_germangss.csv,BoostingBasedPruning,6,"{'T': 110, 'U': 90}",0.2,0.2,0.028571429,0.2,0.727182971,0.11552496,261.0850477,482.8291953
analcatdata_germangss.csv,BoostingBasedPruning,7,"{'T': 110, 'U': 90}",0.15,0.15,0.031481481,0.15,0.710517724,0.109213058,256.6459882,460.0138247
analcatdata_germangss.csv,BoostingBasedPruning,8,"{'T': 110, 'U': 90}",0.175,0.175,0.029464286,0.175,0.80394761,0.101624484,264.1570284,507.394588
analcatdata_germangss.csv,BoostingBasedPruning,9,"{'T': 110, 'U': 90}",0.25,0.25,0.028846154,0.25,0.803543199,0.184703329,263.7914679,459.465003
analcatdata_germangss.csv,BoostingBasedPruning,10,"{'T': 110, 'U': 90}",0.275,0.275,0.023387097,0.275,0.75761902,0.247875131,261.3270812,452.5999725
analcatdata_lawsuit.csv,BoostingBasedPruning,1,"{'T': 70, 'U': 70}",0.740740741,0.740740741,0.259259259,0.740740741,0.96,0.5,1.094009399,1.738504127
analcatdata_lawsuit.csv,BoostingBasedPruning,2,"{'T': 70, 'U': 70}",1,1,0,1,1,1,1.096119881,1.737426828
analcatdata_lawsuit.csv,BoostingBasedPruning,3,"{'T': 70, 'U': 70}",1,1,0,1,1,1,1.088598967,1.755343543
analcatdata_lawsuit.csv,BoostingBasedPruning,4,"{'T': 70, 'U': 70}",1,1,0,1,1,1,1.159006596,1.73052152
analcatdata_lawsuit.csv,BoostingBasedPruning,5,"{'T': 70, 'U': 70}",1,1,0,1,1,1,1.108108282,1.78364607
analcatdata_lawsuit.csv,BoostingBasedPruning,6,"{'T': 70, 'U': 70}",0.961538462,0.961538462,0.038461538,0.961538462,0.75,0.538461538,1.077068806,1.779858883
analcatdata_lawsuit.csv,BoostingBasedPruning,7,"{'T': 70, 'U': 70}",1,1,0,1,1,1,1.085791826,1.892997668
analcatdata_lawsuit.csv,BoostingBasedPruning,8,"{'T': 70, 'U': 70}",1,1,0,1,1,1,1.085048914,1.829339908
analcatdata_lawsuit.csv,BoostingBasedPruning,9,"{'T': 70, 'U': 70}",1,1,0,1,1,1,1.095927238,1.811293455
analcatdata_lawsuit.csv,BoostingBasedPruning,10,"{'T': 70, 'U': 70}",0.961538462,0.961538462,0.038461538,0.961538462,1,1,1.0869174,1.782417297
ar4.csv,BoostingBasedPruning,1,"{'T': 70, 'U': 70}",0.909090909,0.909090909,0.090909091,0.909090909,0.944444444,0.833333333,1.062497377,8.561481129
ar4.csv,BoostingBasedPruning,2,"{'T': 70, 'U': 70}",0.636363636,0.636363636,0.363636364,0.636363636,0.638888889,0.291666667,1.105293989,8.48438523
ar4.csv,BoostingBasedPruning,3,"{'T': 70, 'U': 70}",0.909090909,0.909090909,0.090909091,0.909090909,0.972222222,0.833333333,1.035470486,8.41051882
ar4.csv,BoostingBasedPruning,4,"{'T': 70, 'U': 70}",0.818181818,0.818181818,0.181818182,0.818181818,0.694444444,0.333333333,1.057530403,8.462927558
ar4.csv,BoostingBasedPruning,5,"{'T': 70, 'U': 70}",0.909090909,0.909090909,0.090909091,0.909090909,0.944444444,0.833333333,1.053948641,8.527755737
ar4.csv,BoostingBasedPruning,6,"{'T': 70, 'U': 70}",1,1,0,1,1,1,1.054804087,8.583112196
ar4.csv,BoostingBasedPruning,7,"{'T': 70, 'U': 70}",0.909090909,0.909090909,0.090909091,0.909090909,1,1,1.046838045,8.403864774
ar4.csv,BoostingBasedPruning,8,"{'T': 70, 'U': 70}",0.9,0.9,0.1,0.9,0.6875,0.642857143,1.079049587,9.362864494
ar4.csv,BoostingBasedPruning,9,"{'T': 70, 'U': 70}",0.9,0.9,0.1,0.9,0.9375,0.833333333,1.059787989,9.841632843
ar4.csv,BoostingBasedPruning,10,"{'T': 70, 'U': 70}",0.7,0.7,0.3,0.7,0.28125,0.183333333,1.073122263,9.725403786
arrhythmia.csv,BoostingBasedPruning,1,"{'T': 70, 'U': 90}",0.760869565,0.760869565,0.023913043,0.760869565,0.958097038,0.814622904,37.84596753,22.14308925
arrhythmia.csv,BoostingBasedPruning,2,"{'T': 70, 'U': 90}",0.826086957,0.826086957,0.015810277,0.826086957,0.960263075,0.857253532,37.80663586,20.21009507
arrhythmia.csv,BoostingBasedPruning,3,"{'T': 70, 'U': 90}",0.666666667,0.666666667,0.037037037,0.666666667,0.910843621,0.661685731,36.93074393,20.57535383
arrhythmia.csv,BoostingBasedPruning,4,"{'T': 70, 'U': 90}",0.777777778,0.777777778,0.024691358,0.777777778,0.937242798,0.740708616,37.51820421,20.67832947
arrhythmia.csv,BoostingBasedPruning,5,"{'T': 70, 'U': 90}",0.777777778,0.777777778,0.022222222,0.777777778,0.954958848,0.831060973,36.98976493,20.06991174
arrhythmia.csv,BoostingBasedPruning,6,"{'T': 70, 'U': 90}",0.733333333,0.733333333,0.02962963,0.733333333,0.962983539,0.771627417,37.10305691,20.34095128
arrhythmia.csv,BoostingBasedPruning,7,"{'T': 70, 'U': 90}",0.866666667,0.866666667,0.014814815,0.866666667,0.987736626,0.902828196,37.32440829,20.35353449
arrhythmia.csv,BoostingBasedPruning,8,"{'T': 70, 'U': 90}",0.733333333,0.733333333,0.02962963,0.733333333,0.937530864,0.698775301,37.12842536,20.6196838
arrhythmia.csv,BoostingBasedPruning,9,"{'T': 70, 'U': 90}",0.777777778,0.777777778,0.022222222,0.777777778,0.963148148,0.787649257,37.52997398,20.32898267
arrhythmia.csv,BoostingBasedPruning,10,"{'T': 70, 'U': 90}",0.755555556,0.755555556,0.027160494,0.755555556,0.954074074,0.806128862,37.6997695,20.44457859
audiology-std.csv,BoostingBasedPruning,1,"{'T': 130, 'U': 30}",0.9,0.9,0.011111111,0.9,0.972352941,0.936706349,44.27490234,91.23296738
audiology-std.csv,BoostingBasedPruning,2,"{'T': 130, 'U': 30}",0.65,0.65,0.038888889,0.65,0.881985294,0.625676513,44.85605025,90.56180716
audiology-std.csv,BoostingBasedPruning,3,"{'T': 130, 'U': 30}",0.85,0.85,0.01875,0.85,0.942794118,0.795484336,44.88140488,90.95219374
audiology-std.csv,BoostingBasedPruning,4,"{'T': 130, 'U': 30}",0.75,0.75,0.027777778,0.75,0.963382353,0.823932395,45.96130252,92.43072271
audiology-std.csv,BoostingBasedPruning,5,"{'T': 130, 'U': 30}",0.85,0.85,0.01875,0.85,0.969558824,0.835741544,46.62979746,96.44486904
audiology-std.csv,BoostingBasedPruning,6,"{'T': 130, 'U': 30}",0.7,0.7,0.027272727,0.7,0.931176471,0.728736026,46.78316665,95.00329494
audiology-std.csv,BoostingBasedPruning,7,"{'T': 130, 'U': 30}",0.894736842,0.894736842,0.010526316,0.894736842,0.96936614,0.913838606,46.77064538,99.81876925
audiology-std.csv,BoostingBasedPruning,8,"{'T': 130, 'U': 30}",0.894736842,0.894736842,0.010526316,0.894736842,0.993970996,0.903130149,46.9760313,99.32206806
audiology-std.csv,BoostingBasedPruning,9,"{'T': 130, 'U': 30}",0.894736842,0.894736842,0.010526316,0.894736842,0.96830699,0.892174181,46.51622176,99.03615399
audiology-std.csv,BoostingBasedPruning,10,"{'T': 130, 'U': 30}",0.736842105,0.736842105,0.029239766,0.736842105,0.963825974,0.853146712,46.52597642,99.12292581
autos.csv,BoostingBasedPruning,1,"{'T': 30, 'U': 90}",0.428571429,0.428571429,0.142857143,0.428571429,0.686848073,0.321566618,2.225422144,22.12850253
autos.csv,BoostingBasedPruning,2,"{'T': 30, 'U': 90}",0.428571429,0.428571429,0.142857143,0.428571429,0.824036281,0.543616552,2.274567604,25.88769368
autos.csv,BoostingBasedPruning,3,"{'T': 30, 'U': 90}",0.571428571,0.571428571,0.085714286,0.571428571,0.83015873,0.619185288,2.210696936,21.47210212
autos.csv,BoostingBasedPruning,4,"{'T': 30, 'U': 90}",0.619047619,0.619047619,0.076190476,0.619047619,0.930385488,0.739799657,2.257213354,22.22509611
autos.csv,BoostingBasedPruning,5,"{'T': 30, 'U': 90}",0.714285714,0.714285714,0.057142857,0.714285714,0.889795918,0.786621125,2.194895744,23.10178393
autos.csv,BoostingBasedPruning,6,"{'T': 30, 'U': 90}",0.65,0.65,0.0875,0.65,0.798,0.679983315,2.223410606,22.80422449
autos.csv,BoostingBasedPruning,7,"{'T': 30, 'U': 90}",1,1,0,1,1,1,2.281527042,23.71205091
autos.csv,BoostingBasedPruning,8,"{'T': 30, 'U': 90}",0.8,0.8,0.05,0.8,0.95425,0.873212003,2.268344641,23.68438244
autos.csv,BoostingBasedPruning,9,"{'T': 30, 'U': 90}",0.75,0.75,0.0625,0.75,0.9135,0.849216117,2.280301094,24.28517342
autos.csv,BoostingBasedPruning,10,"{'T': 30, 'U': 90}",0.5,0.5,0.125,0.5,0.92575,0.701769281,2.30677557,24.43189621
balance-scale.csv,BoostingBasedPruning,1,"{'T': 90, 'U': 90}",0.523809524,0.523809524,0.238095238,0.523809524,0.733560091,0.679460531,7.399552345,8.33433015
balance-scale.csv,BoostingBasedPruning,2,"{'T': 90, 'U': 90}",0.714285714,0.714285714,0.142857143,0.714285714,0.839506173,0.801644746,7.608001471,8.388360341
balance-scale.csv,BoostingBasedPruning,3,"{'T': 90, 'U': 90}",0.634920635,0.634920635,0.182539683,0.634920635,0.786659108,0.716112042,7.68982935,8.260174403
balance-scale.csv,BoostingBasedPruning,4,"{'T': 90, 'U': 90}",0.825396825,0.825396825,0.087301587,0.825396825,0.924981104,0.918064175,7.498163939,9.301507284
balance-scale.csv,BoostingBasedPruning,5,"{'T': 90, 'U': 90}",0.825396825,0.825396825,0.087301587,0.825396825,0.909737969,0.893628948,7.599994898,8.234288957
balance-scale.csv,BoostingBasedPruning,6,"{'T': 90, 'U': 90}",0.790322581,0.790322581,0.10483871,0.790322581,0.88735692,0.869525719,7.482655525,8.429450373
balance-scale.csv,BoostingBasedPruning,7,"{'T': 90, 'U': 90}",0.806451613,0.806451613,0.096774194,0.806451613,0.902445369,0.880873529,7.399955034,8.396375564
